Customer Age,Product Purchased,Ticket Type,Ticket Subject,Ticket Priority,Ticket Channel,incumplio_sla
48,Dell XPS,Technical issue,Network problem,Low,Social media,0
27,Microsoft Office,Billing inquiry,Account access,Low,Social media,0
67,Autodesk AutoCAD,Billing inquiry,Data loss,Low,Email,0
48,Nintendo Switch,Cancellation request,Data loss,High,Phone,0
51,Microsoft Xbox Controller,Product inquiry,Software bug,High,Chat,1
48,Sony PlayStation,Billing inquiry,Product setup,High,Chat,1
63,Xbox,Product inquiry,Account access,Critical,Chat,1
39,Canon EOS,Refund request,Software bug,Low,Chat,0
30,Fitbit Charge,Technical issue,Product recommendation,Critical,Phone,1
67,Xbox,Cancellation request,Cancellation request,Medium,Phone,0
60,GoPro Action Camera,Technical issue,Product compatibility,Medium,Social media,0
50,Autodesk AutoCAD,Refund request,Hardware issue,Critical,Social media,1
24,GoPro Hero,Cancellation request,Product recommendation,High,Chat,1
19,Google Pixel,Technical issue,Account access,Critical,Phone,0
35,Dell XPS,Billing inquiry,Product compatibility,Critical,Chat,1
34,HP Pavilion,Refund request,Product compatibility,Critical,Email,1
50,Nintendo Switch Pro Controller,Refund request,Network problem,High,Phone,0
27,GoPro Hero,Technical issue,Software bug,Medium,Social media,1
64,LG Smart TV,Refund request,Software bug,Medium,Chat,1
54,Nest Thermostat,Refund request,Network problem,High,Social media,1
37,HP Pavilion,Cancellation request,Delivery problem,Low,Chat,0
27,Autodesk AutoCAD,Technical issue,Product recommendation,Medium,Phone,0
40,Apple AirPods,Product inquiry,Cancellation request,Medium,Chat,0
40,Sony 4K HDR TV,Cancellation request,Product setup,Medium,Chat,0
64,Xbox,Billing inquiry,Payment issue,High,Email,1
49,GoPro Hero,Billing inquiry,Product compatibility,High,Email,0
46,Canon DSLR Camera,Refund request,Refund request,High,Chat,0
34,Dyson Vacuum Cleaner,Billing inquiry,Display issue,Low,Chat,0
36,Fitbit Charge,Cancellation request,Payment issue,Critical,Social media,0
37,Roomba Robot Vacuum,Product inquiry,Display issue,Critical,Chat,1
63,Fitbit Charge,Billing inquiry,Delivery problem,Low,Email,0
24,PlayStation,Refund request,Software bug,Low,Social media,0
46,Sony PlayStation,Technical issue,Product recommendation,Critical,Phone,1
40,Sony Xperia,Product inquiry,Product recommendation,Medium,Email,0
60,Autodesk AutoCAD,Product inquiry,Battery life,High,Chat,1
38,Samsung Galaxy,Billing inquiry,Refund request,High,Chat,0
40,Asus ROG,Refund request,Battery life,Critical,Email,1
42,Nintendo Switch,Cancellation request,Installation support,Low,Email,0
33,Dyson Vacuum Cleaner,Technical issue,Product setup,Critical,Chat,0
60,Amazon Echo,Cancellation request,Peripheral compatibility,High,Email,0
27,Microsoft Office,Cancellation request,Payment issue,High,Email,1
28,Sony 4K HDR TV,Cancellation request,Battery life,High,Email,1
20,iPhone,Cancellation request,Software bug,High,Email,1
18,Google Nest,Billing inquiry,Product setup,Medium,Phone,0
41,Fitbit Charge,Billing inquiry,Software bug,Low,Phone,0
49,Adobe Photoshop,Cancellation request,Hardware issue,Medium,Email,0
43,Asus ROG,Billing inquiry,Product recommendation,Medium,Email,0
50,Nintendo Switch,Refund request,Refund request,Critical,Phone,0
66,PlayStation,Cancellation request,Product setup,Critical,Email,1
21,Amazon Echo,Technical issue,Network problem,Low,Chat,0
58,Adobe Photoshop,Product inquiry,Product compatibility,Critical,Chat,1
47,LG Washing Machine,Cancellation request,Product setup,Critical,Email,1
31,Sony PlayStation,Technical issue,Software bug,High,Chat,0
22,Apple AirPods,Billing inquiry,Product compatibility,Low,Social media,0
40,LG Washing Machine,Refund request,Installation support,High,Chat,0
64,Philips Hue Lights,Technical issue,Peripheral compatibility,Critical,Email,0
29,Google Pixel,Refund request,Product recommendation,Critical,Email,1
29,HP Pavilion,Refund request,Product setup,High,Phone,1
30,Bose SoundLink Speaker,Refund request,Payment issue,Critical,Phone,1
34,Microsoft Office,Cancellation request,Product recommendation,Medium,Phone,0
24,HP Pavilion,Billing inquiry,Product setup,Low,Social media,0
32,Xbox,Refund request,Battery life,Medium,Email,0
41,Garmin Forerunner,Technical issue,Delivery problem,Medium,Chat,0
30,Sony Xperia,Product inquiry,Network problem,Medium,Phone,1
44,Microsoft Office,Billing inquiry,Product setup,Low,Social media,0
42,PlayStation,Technical issue,Delivery problem,Medium,Email,1
33,Samsung Soundbar,Product inquiry,Delivery problem,High,Chat,0
32,Google Pixel,Billing inquiry,Network problem,Medium,Phone,0
37,Roomba Robot Vacuum,Refund request,Product compatibility,High,Phone,1
58,GoPro Hero,Product inquiry,Account access,Medium,Phone,0
57,Samsung Soundbar,Billing inquiry,Payment issue,Medium,Social media,0
30,MacBook Pro,Refund request,Delivery problem,High,Chat,1
60,Amazon Echo,Cancellation request,Product setup,Critical,Chat,1
66,Canon EOS,Product inquiry,Software bug,Medium,Chat,0
43,Google Nest,Cancellation request,Software bug,High,Phone,0
55,Sony Xperia,Refund request,Delivery problem,Medium,Phone,1
62,Nintendo Switch Pro Controller,Technical issue,Delivery problem,Low,Chat,0
65,Canon EOS,Technical issue,Refund request,Critical,Social media,0
70,Sony Xperia,Billing inquiry,Installation support,Medium,Social media,0
35,PlayStation,Technical issue,Product recommendation,High,Chat,0
53,Apple AirPods,Billing inquiry,Product recommendation,High,Phone,1
66,Microsoft Xbox Controller,Technical issue,Hardware issue,Critical,Social media,0
40,iPhone,Refund request,Refund request,Critical,Phone,1
31,Sony Xperia,Product inquiry,Peripheral compatibility,High,Social media,0
66,Philips Hue Lights,Technical issue,Delivery problem,Low,Social media,0
55,iPhone,Billing inquiry,Product compatibility,Low,Social media,0
35,Sony PlayStation,Refund request,Product compatibility,High,Chat,1
19,Roomba Robot Vacuum,Technical issue,Product setup,Critical,Phone,0
33,PlayStation,Billing inquiry,Battery life,Low,Social media,0
48,Microsoft Surface,Product inquiry,Hardware issue,Medium,Chat,1
46,Sony Xperia,Refund request,Cancellation request,Critical,Social media,1
29,LG OLED,Cancellation request,Product compatibility,Medium,Chat,1
64,MacBook Pro,Refund request,Hardware issue,High,Social media,0
63,Xbox,Billing inquiry,Data loss,Critical,Phone,1
39,Autodesk AutoCAD,Billing inquiry,Refund request,Medium,Chat,0
21,Apple AirPods,Technical issue,Software bug,Low,Social media,0
33,Bose SoundLink Speaker,Product inquiry,Refund request,Critical,Chat,0
35,Philips Hue Lights,Billing inquiry,Product compatibility,High,Email,0
58,Philips Hue Lights,Product inquiry,Cancellation request,Critical,Phone,1
26,Microsoft Xbox Controller,Billing inquiry,Installation support,Medium,Social media,1
24,Apple AirPods,Cancellation request,Cancellation request,Critical,Phone,1
44,Amazon Kindle,Product inquiry,Peripheral compatibility,Medium,Phone,0
53,Amazon Kindle,Cancellation request,Software bug,Medium,Chat,0
32,GoPro Action Camera,Refund request,Peripheral compatibility,Low,Social media,0
53,Nintendo Switch Pro Controller,Technical issue,Peripheral compatibility,High,Social media,1
46,Bose QuietComfort,Refund request,Product setup,Critical,Chat,0
46,Microsoft Xbox Controller,Technical issue,Battery life,Medium,Email,0
30,GoPro Hero,Cancellation request,Payment issue,High,Email,1
18,Apple AirPods,Technical issue,Cancellation request,Low,Chat,0
27,Nest Thermostat,Cancellation request,Software bug,Medium,Email,0
70,Canon DSLR Camera,Refund request,Battery life,Critical,Social media,1
52,Microsoft Surface,Refund request,Hardware issue,Low,Phone,0
45,GoPro Hero,Refund request,Product recommendation,Medium,Chat,0
21,Fitbit Versa Smartwatch,Technical issue,Delivery problem,Medium,Social media,0
41,Nintendo Switch Pro Controller,Technical issue,Installation support,Medium,Phone,0
45,iPhone,Technical issue,Product compatibility,Critical,Social media,1
33,Roomba Robot Vacuum,Product inquiry,Data loss,Low,Email,0
21,Sony PlayStation,Cancellation request,Cancellation request,Low,Chat,0
52,HP Pavilion,Technical issue,Network problem,High,Phone,1
54,Garmin Forerunner,Technical issue,Payment issue,High,Social media,1
28,LG OLED,Billing inquiry,Battery life,Critical,Email,1
70,Garmin Forerunner,Cancellation request,Product compatibility,Critical,Social media,1
47,Bose SoundLink Speaker,Refund request,Installation support,High,Email,1
